Matrix Size,Threads,Serial == Parallel Result?
20,1,1
20,1,1
20,2,1
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,9,1
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
20,15,1
20,16,1
100,1,1
100,1,1
100,2,1
100,3,1
100,4,1
100,5,1
100,6,1
100,7,1
100,8,1
100,9,1
100,10,1
100,11,1
100,12,1
100,13,1
100,14,1
100,15,1
100,16,1
1000,1,1
1000,1,1
1000,2,1
1000,3,1
1000,4,1
1000,5,1
1000,6,1
1000,7,1
1000,8,1
1000,9,1
1000,10,1
1000,11,1
1000,12,1
1000,13,1
1000,14,1
1000,15,1
1000,16,1
